"age","job","marital","education","balance","duration","campaign","subscribed"
34,"admin.","married","tertiary",35,76,1,"no"
45,"management","married","tertiary",-459,508,6,"no"
28,"services","single","secondary",198,128,2,"yes"
31,"blue-collar","married","primary",99,193,2,"no"
40,"management","married","tertiary",60,172,6,"no"
30,"services","single","secondary",3485,142,2,"no"
34,"entrepreneur","married","secondary",-139,492,2,"no"
40,"blue-collar","married","secondary",952,140,1,"no"
59,"retired","married","primary",1427,140,2,"no"
43,"technician","single","tertiary",1017,257,2,"no"
41,"management","married","tertiary",-29,41,2,"no"
33,"technician","divorced","secondary",9,91,2,"no"
33,"management","married","secondary",4040,132,2,"no"
36,"blue-collar","married","secondary",13,284,1,"no"
32,"self-employed","single","secondary",1259,184,2,"no"
25,"admin.","married","secondary",18,225,1,"no"
25,"blue-collar","married","secondary",-76,241,3,"no"
38,"technician","single","tertiary",221,79,3,"no"
34,"management","married","tertiary",136,156,1,"no"
67,"blue-collar","married","secondary",16353,223,2,"no"
32,"blue-collar","married","secondary",-63,198,1,"no"
45,"housemaid","married","primary",7353,536,2,"no"
33,"blue-collar","married","primary",511,304,2,"no"
38,"admin.","married","primary",3913,196,2,"no"
32,"technician","divorced","secondary",1097,298,2,"no"
54,"retired","divorced","tertiary",6102,86,6,"no"
51,"admin.","divorced","secondary",340,186,1,"no"
42,"blue-collar","married","primary",-119,167,3,"no"
41,"admin.","married","secondary",2993,24,12,"no"
39,"management","divorced","tertiary",3575,74,3,"no"
38,"blue-collar","married","secondary",361,601,1,"no"
39,"management","married","secondary",1072,1168,2,"no"
46,"blue-collar","married","primary",2904,277,2,"no"
50,"entrepreneur","divorced","tertiary",1790,748,3,"no"
33,"blue-collar","married","secondary",86,364,1,"no"
37,"technician","married","secondary",1633,229,3,"no"
31,"management","married","tertiary",8312,43,13,"no"
34,"blue-collar","divorced",NA,172,177,1,"yes"
34,"management","married","tertiary",0,262,1,"yes"
36,"management","married","tertiary",222,317,1,"no"
40,"technician","married","secondary",109,402,22,"no"
40,"blue-collar","married","secondary",1451,314,1,"yes"
41,"technician","married","secondary",1066,109,3,"yes"
52,"management","married","tertiary",3163,56,6,"no"
40,"services","single","secondary",888,169,2,"no"
48,"blue-collar","single",NA,428,127,1,"no"
33,"management","divorced","secondary",106,175,3,"no"
44,"technician","divorced","secondary",0,56,2,"no"
55,"management","married","tertiary",979,123,1,"no"
51,"admin.","married","secondary",2662,148,2,"no"
34,"management","single","tertiary",84,231,1,"no"
58,"retired","divorced",NA,5920,255,1,"no"
39,"management","single","tertiary",816,37,3,"no"
27,"unemployed","single","secondary",3276,106,1,"no"
55,"management","divorced",NA,2,95,1,"no"
35,"technician","single","secondary",-51,134,2,"no"
37,"technician","single","tertiary",3315,820,2,"no"
52,"technician","married","secondary",196,116,1,"no"
41,"blue-collar","married","secondary",552,463,1,"no"
52,"admin.","married","secondary",2347,603,3,"no"
34,"blue-collar","single","secondary",3723,47,5,"no"
53,"management","divorced","primary",255,126,1,"no"
33,"management","single","tertiary",3143,421,2,"yes"
47,"self-employed","married","secondary",0,174,8,"no"
35,"blue-collar","married","secondary",6411,144,1,"no"
33,"management","single","tertiary",1909,191,2,"no"
55,"blue-collar","married","primary",3873,222,1,"no"
58,"self-employed","married","primary",1013,206,1,"yes"
44,"admin.","married","secondary",262,74,1,"no"
25,"services","single","secondary",3217,24,1,"no"
37,"technician","single","secondary",5436,7,11,"no"
41,"blue-collar","married","primary",2067,493,7,"no"
34,"blue-collar","single","secondary",215,350,3,"yes"
36,"services","divorced","secondary",1594,250,3,"no"
44,"self-employed","married","tertiary",134,86,4,"no"
34,"entrepreneur","divorced","tertiary",262,371,1,"no"
56,"blue-collar","divorced","primary",3021,419,2,"no"
43,"management","divorced","tertiary",388,2087,2,"yes"
28,"blue-collar","single","secondary",3412,22,4,"no"
54,"blue-collar","married","secondary",1291,266,1,"no"
37,"technician","divorced","secondary",79,191,1,"no"
59,"self-employed","married","tertiary",2013,222,4,"yes"
58,"blue-collar","divorced","secondary",543,264,3,"no"
56,"management","divorced","tertiary",1016,184,5,"no"
32,"blue-collar","single","secondary",604,95,3,"no"
42,"management","single","tertiary",525,127,2,"no"
52,"retired","divorced","primary",353,395,4,"no"
46,"management","married","tertiary",964,174,1,"no"
37,"admin.","married","tertiary",3913,124,1,"yes"
39,"blue-collar","married","primary",879,102,2,"no"
31,"admin.","married","secondary",314,279,1,"no"
59,"housemaid","married","primary",0,76,11,"no"
38,"blue-collar","married","secondary",1370,472,2,"no"
58,"management","married","secondary",37,84,11,"no"
34,"management","single","tertiary",673,271,1,"no"
40,"services","married","secondary",-342,754,1,"no"
20,"student","single","secondary",291,172,5,"no"
34,"technician","married","secondary",209,375,2,"no"
31,"technician","single","tertiary",438,130,2,"no"
39,"admin.","single","secondary",1242,303,3,"no"
34,"entrepreneur","married","tertiary",355,261,1,"no"
24,"blue-collar","married","secondary",204,229,3,"no"
41,"management","married","tertiary",10758,288,1,"no"
40,"management","married","tertiary",5,219,3,"no"
45,"technician","single","secondary",410,891,4,"yes"
36,"management","married","tertiary",605,204,1,"no"
53,"management","married","tertiary",4,19,6,"no"
23,"student","single","secondary",8494,158,2,"no"
42,"entrepreneur","married","primary",198,314,1,"no"
48,"blue-collar","married","secondary",841,215,1,"no"
34,"management","married","tertiary",8,169,4,"no"
36,"admin.","married","secondary",470,101,4,"no"
43,"retired","married","secondary",520,15,13,"no"
36,"blue-collar","married","secondary",439,260,5,"no"
49,"blue-collar","married","secondary",-454,558,1,"yes"
55,"retired","married","secondary",466,287,4,"no"
53,"retired","married","secondary",665,371,2,"yes"
42,"technician","married","secondary",994,149,1,"yes"
45,"admin.","married","secondary",5346,187,1,"yes"
31,"blue-collar","married","secondary",1243,32,1,"no"
32,"admin.","married","tertiary",0,138,1,"no"
36,"blue-collar","married","secondary",2357,228,2,"no"
56,"retired","married","secondary",1044,353,2,"yes"
46,"admin.","married","secondary",1069,45,2,"no"
41,"housemaid","single","secondary",231,76,2,"no"
31,"admin.","married","secondary",0,144,2,"no"
32,"technician","married","secondary",266,168,2,"no"
38,"management","married","tertiary",-70,140,1,"no"
49,"retired","single","primary",25824,NA,1,"no"
46,"management","single","primary",538,118,3,"no"
29,"technician","single","secondary",534,382,1,"no"
36,"admin.","married",NA,2323,111,1,"no"
38,"admin.","married","secondary",1852,298,2,"no"
53,"technician","married","secondary",2647,121,1,"no"
43,"management","married","tertiary",2767,317,7,"no"
41,"management","married","tertiary",176,42,1,"no"
42,"management","single","secondary",9720,81,2,"no"
55,"blue-collar","divorced","secondary",1613,296,1,"yes"
39,"admin.","divorced","secondary",2903,259,2,"no"
30,"admin.","single","secondary",81,121,6,"no"
41,"blue-collar","married","secondary",780,432,3,"no"
44,"unemployed","married","tertiary",178,126,2,"no"
58,"management","married","tertiary",299,120,4,"no"
35,"retired","married","primary",285,136,1,"no"
27,"blue-collar","married","secondary",872,1130,3,"no"
34,"services","married","secondary",1337,330,2,"yes"
25,"services","married","secondary",72,305,2,"no"
36,"blue-collar","married","secondary",0,332,3,"no"
38,"blue-collar","married","secondary",-388,412,1,"no"
30,"admin.","married","secondary",11,157,1,"no"
47,"blue-collar","divorced","secondary",-535,71,2,"no"
41,"services","divorced","secondary",787,297,2,"no"
36,"management","single","tertiary",3343,307,1,"no"
63,"entrepreneur","married","secondary",3904,250,2,"yes"
23,"management","single","tertiary",736,119,1,"no"
32,"management","married","tertiary",1390,116,2,"no"
57,"retired","married","primary",808,274,1,"no"
48,"management","married","tertiary",1147,389,1,"yes"
49,"services","married","secondary",1122,143,1,"no"
50,"technician","married","secondary",-568,860,2,"no"
33,"blue-collar","married","primary",1165,420,2,"no"
53,"services","divorced","secondary",-905,213,1,"no"
30,"unemployed","married","tertiary",0,756,1,"no"
38,"technician","married","secondary",740,259,3,"no"
44,"management","married","secondary",8262,201,16,"no"
39,"admin.","single","secondary",14,19,9,"no"
45,"technician","single",NA,7108,53,1,"no"
36,"blue-collar","married","secondary",1049,224,4,"yes"
38,"blue-collar","married","secondary",0,57,5,"no"
36,"housemaid","married","secondary",419,251,1,"no"
30,"management","single","tertiary",726,39,1,"no"
28,"technician","divorced","tertiary",594,54,3,"no"
26,"unemployed","married","tertiary",454,28,18,"no"
54,"unknown","married","secondary",2206,104,1,"yes"
38,"admin.","married","tertiary",1988,164,2,"yes"
32,"technician","single","tertiary",0,268,2,"no"
50,"admin.","divorced","secondary",202,148,1,"no"
43,"blue-collar","married","secondary",667,228,3,"no"
48,"admin.","married","secondary",112,139,5,"no"
57,"housemaid","married","primary",50,89,3,"no"
64,"housemaid","married","primary",768,250,2,"no"
26,"services","divorced","secondary",74,106,6,"no"
33,"blue-collar","married","secondary",661,968,1,"yes"
50,"self-employed","married","secondary",3025,168,3,"no"
47,"self-employed","married","tertiary",751,408,14,"no"
39,"management","single","tertiary",416,56,4,"no"
52,"services","married","primary",14,55,5,"no"
31,"blue-collar","single","primary",-502,76,4,"no"
50,"blue-collar","married","primary",0,72,5,"no"
47,"technician","married","secondary",599,99,3,"no"
30,"management","single","tertiary",-218,13,15,"no"
32,"technician","single","tertiary",1012,178,1,"no"
36,"technician","married","secondary",300,287,1,"no"
46,"technician","married","tertiary",217,141,1,"no"
45,"management","divorced","tertiary",2096,127,1,"no"
37,"technician","single","secondary",0,69,2,"no"
58,"housemaid","married","primary",5278,763,4,"no"
59,"management","married","tertiary",1831,122,1,"no"
28,"management","married","tertiary",1480,143,1,"no"
48,"management","married","tertiary",7289,316,3,"no"
55,"blue-collar","married",NA,1665,89,2,"no"
37,"blue-collar","single","primary",851,151,1,"no"
41,"management","married","tertiary",2885,40,1,"no"
35,"blue-collar","married","secondary",137,5,1,"no"
34,"blue-collar","single","secondary",1239,90,1,"no"
43,"management","single","tertiary",146,50,1,"no"
59,"technician","married","secondary",1,159,2,"yes"
50,"blue-collar","divorced","primary",-10,369,6,"no"
37,"technician","married","secondary",480,344,2,"yes"
35,"technician","married","secondary",2789,256,2,"no"
50,"technician","single","secondary",3897,298,1,"no"
36,"technician","divorced","secondary",487,268,3,"no"
41,"admin.","married","secondary",5110,231,1,"no"
28,"management","married","tertiary",318,4,4,"no"
42,"technician","single","tertiary",-411,78,5,"no"
60,"retired","married","secondary",4820,419,1,"no"
28,"management","single","tertiary",4937,421,3,"no"
48,"entrepreneur","married","secondary",725,105,1,"no"
51,"entrepreneur","married","tertiary",5403,42,1,"no"
32,"technician","married","tertiary",4089,114,7,"no"
35,"technician","married","tertiary",188,286,2,"no"
37,"technician","married",NA,189,238,1,"yes"
38,"blue-collar","divorced","secondary",2998,91,1,"no"
77,"retired","married","secondary",610,766,3,"no"
32,"management","single",NA,787,92,1,"no"
43,"technician","divorced","secondary",167,211,3,"no"
36,"management","single","tertiary",243,160,2,"no"
29,"management","married","tertiary",877,166,3,"no"
32,"admin.","single","secondary",2817,195,1,"no"
41,"management","divorced","tertiary",4567,106,1,"no"
26,"services","single","secondary",127,85,3,"no"
34,"blue-collar","married","primary",176,78,1,"no"
57,"retired","married","tertiary",0,648,1,"yes"
36,"services","single","secondary",1482,177,2,"no"
42,"blue-collar","married","secondary",3052,32,1,"no"
35,"technician","divorced","secondary",56,24,12,"no"
52,"entrepreneur","divorced","primary",278,688,2,"no"
36,"management","single","tertiary",3875,21,5,"no"
46,"technician","married","secondary",-337,112,1,"no"
60,"management","divorced","tertiary",366,593,1,"yes"
57,"housemaid","married","primary",501,59,2,"no"
48,"management","married","tertiary",998,121,3,"no"
59,"self-employed","married","primary",0,97,2,"no"
39,"management","married","tertiary",246,86,2,"no"
44,"blue-collar","married","secondary",-182,10,10,"no"
27,"management","single","tertiary",446,205,3,"no"
59,"retired","married","secondary",1173,77,2,"no"
36,"technician","divorced","secondary",5957,138,2,"no"
44,"admin.","married","secondary",205,289,1,"yes"
50,"admin.","married","secondary",0,86,4,"no"
41,"management","divorced","tertiary",369,9,3,"no"
47,"admin.","married","secondary",1934,225,1,"no"
32,"technician","single","tertiary",259,407,4,"no"
38,"blue-collar","married","secondary",284,1030,6,"no"
55,"blue-collar","married",NA,23,123,2,"no"
38,"management","single","tertiary",1373,119,4,"no"
31,"management","single","tertiary",62,175,1,"no"
38,"blue-collar","divorced","secondary",157,299,5,"no"
29,"unemployed","single","tertiary",991,563,1,"no"
55,"services","married","secondary",186,241,1,"no"
35,"unemployed","married","secondary",977,52,4,"no"
40,"self-employed","single","tertiary",2893,76,3,"no"
34,"blue-collar","married","secondary",1897,441,1,"no"
32,"technician","single","tertiary",5514,319,1,"yes"
33,"blue-collar","married","secondary",889,13,1,"no"
33,"management","married","tertiary",273,803,1,"yes"
37,"admin.","married","secondary",1193,396,2,"no"
58,"management","married","tertiary",2729,188,1,"no"
36,"admin.","single","secondary",0,637,1,"no"
42,"blue-collar","married","secondary",230,175,7,"no"
34,"technician","single","secondary",2729,945,1,"no"
35,"management","married","tertiary",317,162,3,"no"
60,"housemaid","married","primary",517,1178,3,"no"
50,"management","married","tertiary",-470,506,2,"no"
28,"self-employed","single","tertiary",4579,409,2,"yes"
27,"blue-collar","divorced","secondary",1,116,3,"no"
37,"management","married","tertiary",5106,244,1,"yes"
31,"technician","married","tertiary",636,352,4,"yes"
34,"services","married","secondary",1076,152,1,"yes"
38,"management","married","tertiary",126,164,2,"no"
32,"self-employed","married","secondary",-33,234,3,"no"
37,"technician","married","secondary",430,154,4,"no"
33,"admin.","married","secondary",-6,566,2,"no"
71,"technician","married","tertiary",383,327,2,"no"
27,"technician","married","secondary",130,265,3,"no"
38,"blue-collar","married","primary",2569,172,1,"no"
34,"technician","single","secondary",201,257,2,"no"
54,"retired","divorced","tertiary",0,618,1,"yes"
30,"blue-collar","married","secondary",6,241,3,"no"
35,"entrepreneur","single","secondary",475,936,4,"no"
33,"blue-collar","single","secondary",706,329,1,"no"
36,"management","married","secondary",1825,24,1,"no"
59,"self-employed","married","tertiary",185,177,5,"no"
72,"blue-collar","married","primary",4415,120,1,"no"
64,"management","married","tertiary",679,135,3,"no"
53,"technician","divorced","secondary",320,175,1,"no"
35,"management","single","tertiary",2988,179,1,"no"
58,"self-employed","married","secondary",1407,58,1,"no"
40,"technician","married","secondary",1270,342,2,"no"
41,"services","divorced","secondary",654,139,2,"no"
48,"retired","married","primary",5173,88,8,"no"
44,"entrepreneur","married","tertiary",3463,210,3,"no"
39,"blue-collar","married",NA,0,731,1,"no"
61,"management","married","tertiary",6016,670,3,"yes"
36,"entrepreneur","married","primary",177,63,5,"no"
28,"management","married","tertiary",3694,70,2,"no"
58,"retired","single","secondary",1640,72,6,"no"
60,"admin.","divorced","secondary",174,241,1,"no"
66,"admin.","single","secondary",10177,272,4,"no"
36,"management","single","tertiary",490,207,8,"yes"
49,"self-employed","married","secondary",2576,64,6,"no"
40,"services","married","secondary",0,543,2,"no"
23,"technician","single","secondary",598,166,1,"no"
29,"management","single","tertiary",15459,245,3,"no"
44,"blue-collar","married","primary",271,94,1,"no"
54,"unknown","married",NA,2508,34,8,"no"
47,"blue-collar","married","primary",320,203,2,"no"
33,"admin.","married","tertiary",640,318,1,"no"
30,"self-employed","married","secondary",1772,158,4,"no"
27,"admin.","single","secondary",15,177,1,"no"
49,"management","divorced","tertiary",2370,56,1,"no"
27,"services","single","secondary",201,172,2,"no"
51,"blue-collar","married","secondary",160,136,1,"no"
32,"admin.","divorced","secondary",5,82,3,"no"
30,"blue-collar","single","secondary",75,123,1,"no"
33,"admin.","married","secondary",4902,110,1,"no"
27,"blue-collar","single","primary",-79,385,5,"no"
75,"retired","divorced","secondary",1341,415,7,"yes"
37,"services","divorced","secondary",490,73,1,"no"
36,"technician","single","secondary",1521,243,2,"no"
37,"blue-collar","married","secondary",131,137,2,"no"
35,"management","married","tertiary",8,55,4,"no"
32,"services","married","secondary",-632,18,5,"no"
32,"admin.","single","secondary",116,255,2,"no"
35,"admin.","married","primary",189,95,1,"no"
31,"blue-collar","married","primary",2,112,1,"no"
28,"blue-collar","single","secondary",4229,205,2,"no"
27,"services","married","secondary",54,97,1,"no"
22,"student","single",NA,549,154,1,"no"
35,"blue-collar","married","primary",298,135,2,"no"
69,"retired","married","primary",579,230,1,"no"
37,"entrepreneur","single","tertiary",1467,349,1,"no"
45,"admin.","single","secondary",0,38,1,"no"
47,"management","married","tertiary",109,268,1,"no"
52,"management","married","tertiary",-11,94,4,"no"
33,"services","married","secondary",90,263,2,"no"
60,"blue-collar","married","primary",493,671,4,"yes"
33,"management","divorced","secondary",1897,197,1,"no"
44,"admin.","married","secondary",2403,180,2,"no"
38,"entrepreneur","married","secondary",868,452,2,"no"
54,"entrepreneur","married","secondary",653,352,1,"no"
32,"unemployed","divorced","primary",0,175,4,"no"
33,"technician","married","secondary",0,163,2,"no"
55,"services","divorced","secondary",218,200,2,"no"
51,"blue-collar","married","primary",5050,75,7,"no"
48,"blue-collar","married","secondary",741,227,1,"no"
37,"services","single","secondary",1050,586,3,"no"
33,"services","single","secondary",-56,119,5,"no"
30,"blue-collar","married","primary",1,80,2,"no"
43,"blue-collar","married","primary",-98,112,2,"no"
49,"technician","married","secondary",4667,130,2,"no"
54,"unemployed","married","primary",541,237,3,"no"
31,"unemployed","married","tertiary",7744,377,8,"no"
54,"unknown","married",NA,895,335,1,"yes"
36,"unemployed","married","secondary",-129,121,3,"no"
30,"admin.","married","secondary",0,127,5,"no"
27,"technician","single","secondary",158,650,2,"yes"
30,"admin.","married","secondary",122,107,1,"no"
30,"blue-collar","married","secondary",673,610,2,"no"
35,"technician","divorced","secondary",0,124,4,"no"
33,"services","divorced","secondary",411,216,1,"no"
43,"blue-collar","divorced","primary",-97,747,4,"no"
41,"blue-collar","married","secondary",-217,313,1,"no"
41,"management","divorced","tertiary",5037,252,9,"yes"
46,"admin.","divorced","secondary",2232,121,1,"yes"
54,"blue-collar","married","secondary",-932,799,1,"no"
32,"management","married","tertiary",913,883,1,"no"
30,"technician","single","tertiary",236,197,1,"no"
40,"entrepreneur","married","primary",0,271,2,"no"
30,"blue-collar","married","primary",2581,221,2,"no"
27,"admin.","married","secondary",639,243,3,"no"
41,"blue-collar","married","primary",849,72,1,"no"
54,"services","married","secondary",386,155,2,"no"
32,"management","single","tertiary",1218,70,2,"no"
31,"management","married","tertiary",2603,280,4,"yes"
42,"blue-collar","married","secondary",-921,115,2,"no"
48,"admin.","married","primary",607,29,2,"no"
34,"blue-collar","married","primary",79,406,2,"no"
55,"technician","divorced","secondary",61,113,3,"no"
49,"technician","married","secondary",1091,47,2,"no"
46,"management","divorced","tertiary",743,36,2,"no"
47,"entrepreneur","married",NA,209,135,2,"no"
24,"management","single","tertiary",172,67,2,"no"
58,"entrepreneur","married","secondary",2,684,1,"no"
32,"management","single","tertiary",41,686,5,"yes"
25,"student","single","secondary",1116,170,3,"no"
49,"blue-collar","married","secondary",-55,150,3,"no"
59,"retired","divorced","secondary",5845,1060,2,"yes"
30,"management","single","tertiary",329,122,16,"no"
46,"blue-collar","married","secondary",494,724,1,"no"
42,"management","married",NA,1519,230,1,"yes"
37,"entrepreneur","married","tertiary",2685,187,2,"no"
44,"blue-collar","married","primary",-14,179,4,"no"
49,"services","married","secondary",5673,357,3,"no"
41,"blue-collar","married","secondary",1459,82,1,"no"
48,"technician","married","tertiary",0,176,15,"no"
31,"management","married","secondary",625,424,1,"no"
37,"student","married",NA,0,115,1,"no"
51,"services","married","secondary",867,177,2,"no"
80,"retired","married","secondary",8304,712,1,"yes"
32,"management","single","tertiary",151,118,1,"no"
48,"services","married","primary",-583,25,7,"no"
49,"blue-collar","married","tertiary",1784,753,1,"no"
30,"management","married","tertiary",3134,124,1,"no"
27,"self-employed","single","secondary",49,208,2,"no"
34,"technician","married","secondary",-346,136,4,"no"
49,"management","married","secondary",1623,1081,2,"yes"
48,"management","married","tertiary",60,376,2,"no"
40,"services","married","secondary",17,78,1,"no"
38,"blue-collar","married","secondary",2008,354,1,"no"
46,"blue-collar","married","primary",91,29,1,"no"
41,"entrepreneur","married","tertiary",171,209,1,"no"
28,"management","single","tertiary",1027,433,1,"no"
51,"services","married",NA,5801,147,2,"no"
33,"blue-collar","divorced","primary",142,41,2,"no"
26,"management","single","tertiary",205,111,1,"no"
34,"admin.","single","secondary",852,108,2,"no"
27,"blue-collar","married","secondary",-584,411,2,"no"
42,"self-employed","married","secondary",97,108,2,"no"
45,"admin.","married","secondary",204,224,2,"yes"
31,"technician","single","secondary",628,1083,2,"no"
32,"management","single","tertiary",311,757,2,"yes"
39,"blue-collar","married","primary",1564,57,1,"no"
26,"blue-collar","single","secondary",856,95,5,"no"
40,"management","single","tertiary",1509,144,2,"no"
52,"services","married","secondary",-888,135,1,"no"
40,"technician","single","tertiary",226,176,2,"no"
48,"technician","married","secondary",127,524,5,"no"
31,"services","married","secondary",413,65,1,"no"
27,"admin.","married","secondary",710,653,1,"yes"
47,"technician","married","secondary",1233,91,1,"yes"
28,"management","single","secondary",171,93,1,"yes"
40,"management","divorced","tertiary",69,503,2,"no"
34,"admin.","married","secondary",1499,186,1,"no"
29,"self-employed","married","tertiary",751,121,2,"no"
36,"management","married","tertiary",61,452,2,"no"
83,"retired","married","primary",425,883,1,"yes"
55,"services","divorced","primary",2923,104,2,"no"
43,"management","divorced","tertiary",99,24,3,"no"
23,"student","single","secondary",1021,79,9,"no"
44,"technician","married","tertiary",1146,178,2,"no"
58,"blue-collar","married","primary",781,74,2,"no"
29,"admin.","single","secondary",1448,217,1,"no"
30,"management","single","tertiary",604,475,1,"no"
29,"admin.","single","secondary",-194,127,1,"no"
41,"technician","married","secondary",0,101,1,"no"
35,"housemaid","married","primary",0,340,3,"no"
31,"technician","single","secondary",1014,158,4,"no"
27,"admin.","single","tertiary",73,242,1,"no"
47,"services","married","secondary",2597,323,1,"no"
53,"self-employed","married","tertiary",2627,18,30,"no"
34,"management","married","tertiary",1906,68,3,"no"
34,"blue-collar","married","primary",-319,134,4,"no"
36,"management","married","tertiary",-296,113,3,"no"
40,"technician","married","secondary",169,43,4,"no"
37,"self-employed","single","tertiary",556,200,2,"no"
65,"retired","divorced",NA,300,245,2,"no"
53,"technician","divorced","secondary",751,343,4,"no"
28,"technician","single","secondary",126,229,1,"no"
33,"technician","divorced","tertiary",-386,530,1,"no"
56,"blue-collar","married","primary",379,58,5,"no"
45,"self-employed","married","secondary",706,78,2,"no"
39,"technician","married","secondary",9121,147,1,"no"
28,"management","single","tertiary",1466,40,1,"no"
36,"blue-collar","married","primary",0,618,2,"no"
41,"blue-collar","married","primary",951,23,4,"no"
46,"admin.","married","secondary",368,293,1,"yes"
41,"blue-collar","married","secondary",121,16,6,"no"
59,"services","married","secondary",204,286,2,"no"
24,"admin.","married","secondary",299,209,1,"no"
34,"management","married","tertiary",4170,935,1,"no"
40,"blue-collar","married","primary",-335,260,1,"no"
42,"admin.","married","secondary",3165,298,4,"no"
50,"services","married","secondary",254,397,2,"no"
25,"management","single","tertiary",553,113,4,"no"
51,"services","divorced","secondary",518,76,1,"no"
50,"management","married","tertiary",85,141,1,"no"
37,"blue-collar","married",NA,603,773,2,"no"
21,"services","single","secondary",361,329,1,"no"
52,"blue-collar","married","secondary",-98,423,1,"no"
55,"retired","married","primary",4424,67,4,"no"
26,"technician","single","secondary",2610,626,1,"no"
38,"technician","married","tertiary",3234,578,2,"yes"
32,"blue-collar","married","secondary",687,61,1,"no"
31,"blue-collar","married","secondary",631,248,4,"no"
34,"technician","single","secondary",341,136,1,"no"
33,"technician","single","tertiary",316,126,3,"no"
35,"technician","married","secondary",2,653,3,"no"
44,"management","married",NA,415,7,7,"no"
48,"management","divorced","tertiary",507,528,1,"no"
29,"blue-collar","married","secondary",912,785,1,"no"
50,"management","married","tertiary",0,243,5,"no"
37,"blue-collar","married","primary",37,24,2,"no"
44,"admin.","single","secondary",2524,82,1,"no"
36,"unemployed","single","tertiary",9019,952,3,"no"
49,"blue-collar","divorced",NA,39,27,5,"no"
31,"blue-collar","married","secondary",0,143,1,"no"
49,"technician","divorced","secondary",265,274,6,"no"
35,"blue-collar","single","secondary",0,1174,1,"yes"
57,"admin.","divorced",NA,4012,915,1,"no"
42,"blue-collar","married","primary",1520,115,1,"no"
36,"blue-collar","divorced","secondary",-140,222,2,"no"
75,"retired","divorced","primary",852,341,1,"no"
38,"blue-collar","single","secondary",578,112,2,"no"
40,"blue-collar","married","primary",0,64,2,"no"
38,"services","single","secondary",2253,937,3,"yes"
34,"management","single","tertiary",1171,129,1,"no"
29,"technician","single","tertiary",452,59,1,"no"
28,"admin.","married","secondary",-97,79,1,"no"
79,"retired","married","secondary",4738,151,5,"no"
51,"admin.","divorced","secondary",467,83,1,"no"
32,"student","single","tertiary",0,101,5,"no"
36,"management","married","tertiary",495,157,3,"yes"
38,"entrepreneur","married","secondary",157,57,11,"no"
49,"self-employed","married","secondary",358,176,3,"no"
42,"services","married","secondary",292,222,3,"no"
43,"blue-collar","married","primary",7343,217,4,"no"
34,"blue-collar","married","secondary",-563,252,1,"no"
59,"retired","single","secondary",351,1063,5,"yes"
35,"unknown","married","primary",365,41,2,"no"
33,"blue-collar","single","secondary",13494,27,25,"no"
34,"admin.","single","secondary",846,758,2,"no"
64,"retired","married","secondary",1574,301,3,"yes"
34,"entrepreneur","married","tertiary",-28,574,1,"no"
77,"retired","married","tertiary",0,847,1,"yes"
57,"retired","married","primary",2927,78,5,"no"
30,"blue-collar","married","secondary",501,514,1,"no"
56,"housemaid","divorced","primary",1238,1558,1,"yes"
49,"unknown","married",NA,301,789,2,"no"
73,"retired","married","primary",1388,146,3,"no"
39,"technician","single","secondary",102,272,2,"no"
57,"technician","divorced","primary",13,323,2,"no"
32,"self-employed","married","secondary",413,712,2,"no"
32,"technician","single","tertiary",4665,860,2,"yes"
45,"admin.","married","secondary",638,75,9,"no"
32,"blue-collar","married","secondary",101,191,4,"no"
31,"management","married","tertiary",1224,1441,2,"yes"
49,"self-employed","married","secondary",1103,428,2,"no"
29,"services","married","secondary",3748,322,3,"no"
55,"technician","married","secondary",955,104,1,"no"
30,"admin.","married","secondary",518,127,1,"no"
45,"services","single","primary",1893,1259,6,"yes"
39,"technician","married","tertiary",14,114,2,"no"
36,"admin.","married","secondary",-423,106,1,"no"
33,"management","married","tertiary",3696,305,1,"no"
36,"management","married","tertiary",2987,307,1,"yes"
31,"technician","single","secondary",433,1504,2,"no"
36,"technician","married",NA,756,396,3,"no"
38,"technician","single","tertiary",0,71,1,"no"
33,"unknown","married","secondary",2727,205,3,"no"
40,"technician","married","secondary",93,134,2,"no"
31,"blue-collar","married","secondary",1766,166,2,"yes"
39,"services","married","secondary",124,81,5,"no"
33,"admin.","married","tertiary",69,77,2,"no"
53,"services","divorced","secondary",0,80,2,"yes"
38,"management","married","tertiary",0,537,5,"no"
59,"technician","married","secondary",259,415,1,"yes"
55,"blue-collar","married","primary",4103,291,1,"no"
38,"technician","single","tertiary",744,283,1,"no"
48,"services","married","secondary",116,70,4,"no"
53,"blue-collar","married","secondary",70,611,2,"no"
44,"admin.","divorced","secondary",432,132,3,"no"
57,"management","married","tertiary",1172,26,1,"no"
29,"blue-collar","single","secondary",9,262,3,"no"
31,"services","married","secondary",428,272,1,"no"
35,"technician","single","tertiary",7546,137,1,"no"
31,"blue-collar","married","primary",620,95,1,"no"
35,"self-employed","married","tertiary",8647,140,2,"no"
40,"management","single","secondary",192,71,11,"no"
39,"blue-collar","married","secondary",0,502,1,"no"
43,"technician","single","tertiary",27733,164,7,"no"
44,"entrepreneur","married","primary",276,219,1,"no"
29,"technician","single","secondary",113,328,2,"yes"
40,"technician","married","secondary",782,224,2,"no"
33,"entrepreneur","married","primary",82,63,2,"no"
46,"management","married","tertiary",1008,24,13,"no"
27,"unknown","single","tertiary",6421,147,4,"no"
