"color","quality","alcohol","residual_sugar","density","pH"
"white",6,9.1,16.5,0.999,3.16
"white",6,9.1,16.5,0.999,3.16
"white",5,10.3,1.3,0.9927,3.27
"white",6,8.8,8.5,0.9959,2.89
"white",5,8.9,18.75,1,3.04
"white",5,9.2,13.3,0.9982,3.01
"white",5,9.1,9.2,0.9968,3.22
"white",5,9.1,9.2,0.9968,3.22
"white",4,9.7,1.5,0.994,3.63
"white",6,11.3,3.3,0.9914,3.31
"white",6,11.8,1.7,0.9911,3.19
"white",5,9.2,13.3,0.9982,3.01
"white",5,9.2,13.3,0.9982,3.04
"white",5,10.2,5.7,0.9934,3.22
"white",5,8.8,12.2,0.9984,3.01
"white",5,9.7,6.85,0.9952,3.29
"white",6,9.1,5,0.9952,3.29
"white",6,9.8,1.6,0.9928,3.21
"white",6,11,1.1,0.9912,3.27
"white",5,10.5,7,0.994,3.14
"white",7,9.7,7.6,0.9958,3.45
"white",7,10.9,2.8,0.9924,3.3
"white",6,10.9,2.7,0.9924,3.31
"white",5,10.6,10.4,0.994,3.39
"white",7,9.7,7.6,0.9958,3.45
"white",5,9,13.1,0.9979,3.23
"white",5,9.2,15.8,0.9982,3.24
"white",5,8.9,8.1,0.9961,3.19
"white",5,9.6,15.7,0.9979,3.26
"white",6,10.7,1.2,0.992,3.12
"white",5,8.7,10.5,0.9975,3.16
"white",7,10.8,1.9,0.9917,3.15
"white",6,11.8,1.9,0.9923,3.23
"white",5,10.2,2.2,0.9927,3.3
"white",5,8.7,10.5,0.9975,3.16
"white",6,10.8,1.2,0.992,3.21
"white",6,9.7,4.3,0.9947,3.18
"white",6,11.2,2,0.9921,3.12
"white",6,10.9,1.1,0.9905,3
"white",6,10.1,1.4,0.9918,3.28
"white",4,9,5.2,0.9951,3.38
"white",7,12,4.6,0.9917,3.38
"white",6,9.4,4.1,0.994,2.99
"white",7,11.5,8,0.9934,3.12
"white",6,9.9,10.2,0.9968,3.14
"white",6,9.4,4.1,0.994,2.99
"white",5,10.4,1.2,0.9919,3.14
"white",6,9.7,7.5,0.9966,3.06
"white",6,8.9,14,0.9979,2.89
"white",6,8.9,14,0.9979,2.89
"white",NA,12.4,1.5,0.9898,3.29
"white",8,12.1,1.4,0.9894,3.36
"white",8,12.1,1.4,0.9894,3.36
"white",7,12.4,1.5,0.9898,3.29
"white",5,9.1,14.5,0.998,2.98
"white",5,10.6,4.8,0.9932,3.28
"white",6,8.9,14,0.9979,2.89
"white",5,9.5,13.1,0.997,3.15
"white",5,9.8,13,0.9972,3.16
"white",6,9.6,8.7,0.9974,3.14
"white",7,12.6,2.4,0.9896,3.08
"white",5,9.3,8.95,0.9968,3.08
"white",5,10,9.85,0.9958,2.87
"white",6,12.7,1.5,0.9906,3.12
"white",6,11,1.5,0.9917,3.13
"white",4,11.4,0.8,0.9902,3.03
"white",7,11.5,4.55,0.9918,3.35
"white",5,10.2,17.7,0.999,3.09
"white",6,11.4,7.5,0.9927,3.11
"white",4,12.6,5.1,0.991,3.03
"white",5,9.4,12.9,0.9972,3.28
"white",4,8.7,1.2,0.9931,3.11
"white",6,9.2,5.5,0.995,3.19
"white",6,9.3,5.5,0.9951,3.19
"white",5,9.2,1.2,0.9936,3.09
"white",5,8.7,22,1.001,2.93
"white",6,9.6,14,0.9979,3.18
"white",5,9.3,11.9,0.997,3.02
"white",5,9.3,11.9,0.9972,3.02
"white",6,9.9,9.4,0.9954,3.12
"white",5,11,4.2,0.9924,3.15
"white",8,12.7,3.8,0.9906,3.26
"white",4,8.9,8.5,0.9962,3.09
"white",6,8.9,8.5,0.9962,3.09
"white",5,8.7,22,1.001,2.93
"white",6,11.4,8,0.9928,3.02
"white",5,9.6,5.1,0.9942,3.36
"white",5,9.1,3.6,0.9942,3.02
"white",6,9.1,3.5,0.9942,3.02
"white",5,9.1,3.6,0.9942,3.01
"white",5,8.9,7.8,0.9961,3.13
"white",5,8.8,13.1,0.998,3.1
"white",5,8.9,7.8,0.9961,3.13
"white",5,9.3,16.1,0.9984,3.15
"white",5,8.8,13.1,0.998,3.1
"white",5,9.6,13.2,0.9973,3.2
"white",6,12,13.9,0.9949,3.33
"white",4,10.2,2.3,0.9924,3.28
"white",5,8.8,11.6,0.9972,3.15
"white",5,9.2,8.3,0.9958,3.21
"white",4,9.9,6.2,0.9968,2.99
"white",5,10.2,2.2,0.9938,3.32
"white",6,9.5,0.9,0.993,3.22
"white",5,10.5,9.7,0.994,3.31
"white",7,11.2,1.4,0.9918,3.32
"white",5,9.2,8.3,0.9958,3.21
"white",6,9.7,5.3,0.9944,3.44
"white",7,11.1,1.4,0.9912,3.3
"white",5,9.4,9.2,0.9961,3.31
"white",5,11,7,0.9939,3.03
"white",5,9.4,9.2,0.9961,3.31
"white",5,9.4,17.5,0.9989,3.31
"white",5,11,7,0.9938,3.04
"white",5,11,7,0.9939,3.03
"white",6,9.1,9.5,0.9971,3
"white",7,11.1,1.4,0.9912,3.3
"white",6,9.1,0.8,0.9936,3.42
"white",6,10.4,1.8,0.9929,3.39
"white",5,8.7,17.8,0.9998,3.32
"white",6,9.7,2.4,0.9938,3.5
"white",6,9.1,10.3,0.9969,3.17
"white",6,9.7,2.4,0.9938,3.5
"white",5,8.7,17.8,0.9998,3.32
"white",4,8.9,9.7,0.9972,3.37
"white",6,9.6,7.8,0.9976,3.34
"white",6,9.5,7.8,0.9976,3.31
"white",6,9,14.3,0.9979,3.09
"white",6,9,14.3,0.9979,3.09
"white",6,9,14.3,0.9979,3.09
"white",6,9,14.3,0.9979,3.09
"white",6,9.6,13.2,0.9972,3.27
"white",7,11.1,1.4,0.9918,3.34
"white",6,9.6,15.55,0.9982,3.48
"white",5,8.7,13.7,0.9985,3.2
"white",5,10.4,7.8,0.9944,3.13
"white",7,11.4,2.4,0.9903,3.15
"white",6,9.7,2.7,0.9934,3.3
"white",5,8.7,11.2,0.9975,3.14
"white",6,11.3,2,0.9923,3.37
"white",7,12.6,2.1,0.99,3.16
"white",7,10.9,1.4,0.9905,3.25
"white",7,10.9,1.4,0.9905,3.25
"white",5,10,10.4,0.996,3.38
"white",4,10,4.6,0.9964,3.72
"white",3,9.8,16.2,0.998,3.02
"white",5,8.7,11.2,0.9975,3.14
"white",3,11.7,3.5,0.9913,3.53
"white",6,9.3,1.5,0.9932,3.21
"white",8,9.6,1.1,0.9935,3.32
"white",7,11,5.7,0.9927,3.27
"white",7,11,5.7,0.9927,3.27
"white",6,11.8,NA,0.9912,3.32
"white",4,11.4,0.9,0.9904,3.28
"white",6,10.2,5.4,0.9939,3.32
"white",5,8.9,19.45,0.9996,2.93
"white",5,10.2,8.2,0.9944,3.17
"white",6,9.6,13.6,0.9977,3.08
"white",6,10.6,1.2,0.9912,3.1
"white",5,8.9,19.45,0.9996,2.93
"white",6,9.2,8.3,0.9965,3.25
"white",5,9.7,6.9,0.9944,3.34
"white",6,9.7,7.1,0.9945,3.34
"white",6,9.7,7,0.9944,3.34
"white",6,9.2,8.3,0.9965,3.25
"white",5,9.7,7,0.9944,3.33
"white",5,9.3,13.1,0.9972,3.29
"white",5,9,5.1,0.9949,3.24
"white",5,9.5,10.7,0.9966,3.05
"white",6,9.8,8.9,0.9954,3.14
"white",6,9.8,9.1,0.9954,3.14
"white",5,10.6,1.1,0.9915,2.89
"white",4,10.6,1.2,0.9919,3.05
"white",7,12.4,4.7,0.9916,3.26
"white",8,12.6,2.8,0.99,3.19
"white",8,12.3,5,0.9909,3.3
"white",4,10.5,5.1,0.9938,3.08
"white",5,9.3,15.6,0.9982,3.19
"white",5,8.8,15.4,0.9988,3.12
"white",5,8.8,7.2,0.9961,3.08
"white",6,9.7,15.7,0.9978,3.22
"white",7,9,14.2,0.9979,2.98
"white",7,9,14.2,0.9979,2.98
"white",7,9,14.2,0.9979,2.98
"white",7,9,14.2,0.9979,2.98
"white",6,10.5,5.8,0.9945,3.52
"white",5,9.1,19.8,1,2.96
"white",7,9.8,7.3,0.9957,3.44
"white",3,8.5,1.6,0.9968,3.23
"white",6,9.4,1.2,0.9934,3.37
"white",5,9.4,10.6,0.9976,3.09
"white",7,11.2,3.8,0.9932,3.19
"white",6,10,11.3,0.997,3.17
"white",6,10.3,2.1,0.9923,3.15
"white",6,10.8,1.6,0.9914,3.27
"white",6,10.5,0.9,0.992,3.13
"white",6,10.8,1.6,0.9914,3.27
"white",6,11.1,1.3,0.9914,3.32
"white",6,9.9,6.8,0.9949,3.2
"white",6,9.9,6.8,0.9949,3.2
"white",5,9.9,6.7,0.995,3.2
"white",6,9.9,6.7,0.995,3.2
"white",7,10.4,4.9,0.9927,3.2
"white",6,10.4,4.8,0.9928,3.21
"white",7,11.5,2.1,0.9917,3.4
"white",8,12.5,8.3,0.9918,3.53
"white",6,10,3.7,0.9954,3.36
"white",6,10,6.7,0.9941,3.29
"white",5,10,6.6,0.9941,3.29
"white",6,9.1,1.1,0.9934,3.09
"white",6,10.6,4.7,0.9927,3.21
"white",5,10.5,7.7,0.9938,3.19
"white",7,11.5,7.85,0.9933,3.52
"white",6,10.1,3.3,0.9934,3.54
"white",7,10.3,1.1,0.9927,3.61
"white",5,10.5,7.7,0.9938,3.19
"white",6,10.6,4.7,0.9927,3.21
"white",6,10.4,9.3,0.9946,3.16
"white",5,11.4,2,0.993,3.02
"white",5,10.5,5.8,0.9946,3.18
"white",6,10,15.15,0.9976,2.96
"white",6,10,6.3,0.9944,3.19
"white",6,9.6,15.4,0.9978,3.23
"white",5,10.4,1.3,0.992,3.17
"white",8,12.5,4.8,0.9912,3.36
"white",5,10.6,4.6,0.9927,3.2
"white",6,11.8,1.8,0.9906,3.28
"white",5,9.8,9.9,0.9954,3.11
"white",5,10.8,5.7,0.9923,3.25
"white",6,11.8,1.8,0.9906,3.28
"white",6,11.2,1.5,0.991,3.32
"white",6,9.3,12.3,0.9972,3.28
"white",5,10.4,1.3,0.9945,3.45
"white",7,10.2,1.5,0.9934,3.43
"white",7,9,7.8,0.9964,3.19
"white",6,10,1.5,0.9948,3.2
"white",6,9.1,9.7,0.9962,3.18
"white",5,10,3,0.9931,3.29
"white",6,10,3,0.993,3.29
"white",6,9.6,4.6,0.9942,3.28
"white",7,11.2,1.3,0.9906,3.36
"white",6,8.8,15.6,0.9995,3.2
"white",6,10,13.6,0.998,3.15
"white",5,10,11.2,0.997,3.15
"white",7,11.4,2.1,0.9914,3.27
"white",7,11.9,6.85,0.992,3.03
"white",6,9.6,2.5,0.9924,3.14
"white",7,11.9,6.85,0.992,3.03
"white",6,9.6,4.4,0.9937,3.25
"white",6,9,14.3,0.9978,2.89
"white",6,9,14.3,0.9978,2.89
"white",6,9.5,1.1,0.9927,3.15
"white",6,10.4,1.4,0.994,3
"white",6,10.6,4.7,0.9935,3.2
"white",6,10.2,14.9,0.9968,3.28
"white",5,8.9,1.2,0.9941,3.15
"white",6,9.7,5.3,0.9942,3.4
"white",6,9,14.3,0.9978,2.89
"white",7,11.4,2.3,0.9923,3.49
"white",7,12.3,3.5,0.9912,3.4
"white",6,10.8,1.5,0.9923,3.49
"white",6,9.4,1,0.9927,3.12
"white",6,10.6,2.3,0.9931,3.17
"white",5,11.6,12.5,0.9941,3.17
"white",6,9.4,1,0.9927,3.12
"white",6,10.6,2.3,0.9931,3.17
"white",5,10,0.8,0.9934,3.34
"white",6,9.2,2.4,0.9936,3.1
"white",7,12.5,1.6,0.9893,3.51
"white",7,12.5,1.6,0.9893,3.51
"white",7,10.4,1.5,0.9919,3.32
"white",7,10,1.4,0.9924,3.15
"white",6,10,2.6,0.9927,3.22
"white",7,10.4,1.5,0.9919,3.32
"white",7,10,1.4,0.9924,3.15
"white",6,9,12.5,0.9975,3.1
"white",6,9.2,9.6,0.9969,3.12
"white",6,9.2,2.4,0.9936,3.1
"white",7,11.3,3.2,0.991,3.38
"white",7,12.5,1.6,0.9893,3.51
"white",7,10.8,1.5,0.9906,3.48
"white",5,10.1,5.9,0.9941,3.12
"white",6,9.7,5.4,0.995,3.39
"white",7,9.3,14.9,0.9983,3.18
"white",7,9.3,14.9,0.9983,3.18
"white",5,10.6,1.1,0.9916,3.1
"white",6,10.2,9.8,0.9957,3.36
"white",6,12.2,2,0.99,3.08
"white",5,8.8,11.8,0.9976,3.19
"white",5,10,1.3,0.992,3.18
"white",5,11.4,1.8,0.9917,3.09
"white",6,11.4,1.5,0.9917,3.46
"white",5,9.4,18.2,0.9993,3.35
"white",6,11.7,2.9,0.9908,3.3
"white",6,11.4,1.5,0.9917,3.46
"white",5,8.8,11.8,0.9976,3.19
"white",5,9.2,1.4,0.9934,3.23
"white",5,8.7,18.2,1,3.07
"white",6,12.6,6.3,0.9918,3.24
"white",5,10,1.3,0.992,3.18
"white",7,12.8,4,0.9896,3.39
"white",5,9.4,1.2,0.9932,3.17
"white",6,10.3,1.2,0.992,3.26
"white",5,11.4,1.8,0.9917,3.09
"white",6,9,18.95,0.9999,2.97
"white",6,9.6,12.7,0.998,3.3
"white",5,10.5,1.2,0.9918,3.16
"white",5,10.5,1.2,0.9918,3.16
"white",6,9,18.95,0.9999,2.97
"white",6,9.6,12.7,0.998,3.3
"white",6,9.8,1.2,0.9927,3.19
"white",5,9,7.7,0.9959,3.1
"white",6,9.8,1.2,0.9927,3.19
"white",6,10.5,1.6,0.9929,3.31
"white",7,12.7,2.7,0.9898,3.16
"white",6,10.4,8.7,0.9954,3.25
"white",6,10.4,8.6,0.9954,3.25
"white",6,10.4,8.6,0.9954,3.25
"white",7,10.5,8.3,0.9954,3.34
"white",6,10.4,8.7,0.9954,3.25
"white",6,10.4,8.6,0.9954,3.25
"white",5,9.4,13.3,0.9974,3.09
"white",5,9.1,1.2,0.9936,3.06
"white",5,9.3,13.6,0.9978,3.1
"white",5,9.4,13.3,0.9974,3.09
"white",5,9.8,1.1,0.9927,3.21
"white",7,9.9,2.3,0.9934,3.18
"white",4,9.2,1.5,0.9938,3.07
"white",8,12.1,7.1,0.9922,3.35
"white",7,12.2,6.2,0.992,3.38
"white",5,9.8,2.5,0.9935,3.27
"white",8,12.4,1.4,0.9906,3.35
"white",7,9.9,2.3,0.9934,3.18
"white",5,9.2,1.2,0.9934,3.26
"white",7,11.6,1.6,0.9913,3.29
"white",6,10.4,6.6,0.9938,3.3
"white",8,12.9,2.2,0.9898,3.43
"white",6,9.3,12.2,0.9975,3.26
"white",6,11,20.8,0.9975,3.2
"white",3,11.5,11,0.9937,3.24
"white",5,12.4,2.6,0.9914,3.53
"white",6,9.8,14,0.9982,3.44
"white",6,9.8,14,0.9982,3.44
"white",7,10.5,1.6,0.9929,3.48
"white",5,9.1,9.9,0.9971,3.03
"white",5,10.1,1.2,0.9921,3.24
"white",7,10.6,2.7,0.9931,3.46
"white",7,10.5,1.6,0.9924,3.41
"white",7,10.5,1.6,0.9929,3.48
"white",6,9.8,14,0.9982,3.44
"white",7,12.9,1.5,0.9892,3.3
"white",5,9.5,8.6,0.9956,2.95
"white",6,9.8,1,0.9924,3.29
"white",5,8.5,9.1,0.9971,3.37
"white",5,9.5,8.6,0.9956,2.95
"white",5,9.3,15.2,0.9982,3.22
"white",5,9.5,12.4,0.9973,3.35
"white",6,9.4,2.2,0.9932,3.17
"white",5,8.7,11,0.9976,3.16
"white",5,8.9,10,0.9962,2.95
"white",6,9.4,9,0.9956,3.22
"white",6,9.4,2.2,0.9932,3.17
"white",5,8.7,11,0.9976,3.16
"white",5,9.6,18.15,0.9992,3.09
"white",6,9.3,12.15,0.9983,3
"white",5,10,3.4,0.9937,3.14
"white",6,12.5,2,0.99,3.25
"white",7,9.6,4.8,0.9944,3.36
"white",6,9.4,4.5,0.9938,3.24
"white",5,9.5,11,0.9965,3.03
"white",7,12.4,1.1,0.9893,2.99
"white",6,10.5,1.5,0.9927,3.11
"white",6,9.2,1.7,0.994,2.97
"white",6,10.4,1.7,0.9928,3.32
"white",5,9.2,8.9,0.9964,3.22
"white",6,10.6,1.3,0.9917,3.33
"white",5,9.5,13.3,0.9972,3.34
"white",5,9.2,8.9,0.9964,3.22
"white",5,9.6,6.6,0.9954,3.29
"white",6,9.7,1.5,0.993,3.47
"white",6,9.7,1.5,0.9928,3.46
"white",6,10.7,1.3,0.9916,3.1
"white",6,10.5,1.6,0.9936,3.34
"white",6,8.9,7.6,0.9962,3.13
"white",6,12.1,1,0.9899,3.09
"white",7,12.7,1.6,0.9898,3.25
"white",6,9.9,8.9,0.996,3.18
"white",6,11.4,1.8,0.9907,3.2
"white",6,10.7,4.7,0.994,3.37
"white",6,12.5,7,0.9913,3.33
"white",4,8.6,10.8,0.9976,3.08
"white",6,12.5,1.6,0.9904,3.29
"white",5,10,1,0.992,3.27
"white",4,8.6,10.8,0.9976,3.08
"white",6,9.5,16.7,0.999,3.08
"white",6,9.6,14.2,0.9975,3.12
"white",6,9.9,2.25,0.9937,3.2
"white",5,9.9,2.25,0.9937,3.19
"white",6,8.9,12.2,0.998,3.06
"white",6,8.9,12.2,0.998,3.06
"white",5,8.8,3.3,0.9944,3.01
"white",7,10,1.9,0.9938,3.64
"white",6,12,3.5,0.9907,3.44
"white",7,10,1.9,0.9938,3.64
"white",6,10,1.3,0.9921,3.21
"white",6,12.1,1.8,0.9908,3.11
"white",6,11,5.2,0.9931,3.16
"white",6,11.2,1.4,0.9915,3.21
"white",7,10.3,9,0.9952,3.17
"white",6,10.4,2.2,0.9926,3.37
"white",5,9.1,1.6,0.9934,3.08
"white",6,10.4,1.7,0.992,3
"white",6,10.8,1.9,0.9918,3.43
"white",5,11.7,12.6,0.9942,3.19
"white",5,9.8,2.1,0.9942,3.05
"white",5,9.8,2.1,0.9942,3.05
"white",6,11.4,1.3,0.9901,3.03
"white",6,11.2,1.7,0.9898,3.03
"white",5,11.4,1,0.9902,3.37
"white",6,9.2,3.3,0.9934,3.09
"white",4,12.5,5,0.9906,3.04
"white",6,12.6,1.8,0.9898,3.36
"white",6,12.2,1.6,0.9896,3.44
"white",6,11.2,4.5,0.9922,3.56
"white",6,9.7,4.9,0.9947,3.43
"white",5,9.3,4,0.9945,3.06
"white",6,9,13.2,0.9976,3.01
"white",6,9,13.2,0.9976,3.01
"white",6,9,13.2,0.9976,3.01
"white",5,9.1,15.3,0.9987,3.09
"white",5,9.1,15.3,0.9987,3.09
"white",6,9,13.2,0.9976,3.01
"white",5,10.4,1.5,0.992,3.31
"white",6,9.5,4.55,0.9955,3.37
"white",4,11.4,9.9,0.9953,3.46
"white",5,8.7,10.4,0.9976,3.16
"white",6,9.9,1.1,0.992,3.34
"white",6,9.9,8.7,0.9952,3.22
"white",6,9,13.9,0.9983,3.21
"white",6,10,1.4,0.9933,3.49
"white",6,9.7,7.2,0.9958,3.49
"white",6,11.8,1.9,0.9922,3.3
"white",7,10.2,1.7,0.9928,3.49
"white",5,8.7,10.4,0.9976,3.16
"white",7,9.6,13.6,0.9976,3.07
"white",7,11.3,1.2,0.9916,2.93
"white",7,12.1,1.6,0.9901,3
"white",7,9.6,13.6,0.9976,3.07
"white",7,12.1,1.6,0.9901,3
"white",7,11.3,1.2,0.9916,2.93
"white",5,9.4,12.2,0.9982,2.98
"white",6,10.4,1.6,0.993,3.32
"white",5,9.5,12.1,0.9969,3.25
"white",6,12.3,4.2,0.991,3.01
"white",7,9.9,9.1,0.9953,3.12
"white",5,10.1,1.6,0.9924,3.24
"white",6,9.2,8.8,0.9969,3.09
"white",7,10.4,1.4,0.9928,3.08
"white",5,9.1,4.2,0.9945,3.2
"white",6,10,10.3,0.9967,3.12
"white",6,11.5,12.4,0.9944,3.13
"white",5,9.8,2.2,0.9928,3.08
"white",6,9.8,2.2,0.9929,3.08
"white",6,9.4,5.2,0.9948,3.19
"white",5,8.7,10.8,0.9976,3.05
"white",7,11.6,2.7,0.9912,3.32
"white",5,8.8,16.3,0.9987,3.04
"white",7,12.7,2.7,0.99,3.16
"white",7,11.7,1.9,0.991,3.17
"white",6,10.2,1.8,0.9933,3.13
"white",6,10.2,1.8,0.9933,3.13
"white",7,12.7,2.8,0.9899,3.15
"white",7,11.6,2.7,0.9912,3.32
"white",7,12.3,6,0.9912,3.38
"white",5,8.7,10.8,0.9976,3.05
"white",5,9.4,4.2,0.994,3.35
"white",6,10.1,6.4,0.9947,3.13
"white",6,9.7,10.7,0.9954,2.86
"white",7,10.1,1.6,0.993,3.42
"white",6,9.7,10.7,0.9954,2.86
"white",6,8.9,7.9,0.9963,3.13
"white",7,10.8,1.7,0.992,3.47
"white",7,10.8,2.1,0.9926,3.42
"white",6,9.5,5.8,0.995,3.19
"white",5,9.1,14.5,0.9983,2.94
"white",6,10.9,1.2,0.992,3.32
"white",5,9.4,10.1,0.9968,3.2
"white",5,10.8,1.1,0.9905,2.97
"white",5,10.8,1,0.9904,2.97
"white",7,10.5,0.9,0.9926,3.45
"white",5,9.4,10.1,0.9968,3.2
"white",6,10.8,4.9,0.9928,3.17
"white",8,10.5,11.4,0.9949,3.35
"white",7,11.5,1.4,0.9909,3.08
"white",6,9.4,1.4,0.9937,3.11
"white",6,25,1.4,0.9914,2.88
"white",5,10.8,1.1,0.9905,2.97
"white",5,10.8,1,0.9904,2.97
"white",6,9.8,1.5,0.9924,2.99
"white",6,9.8,1.5,0.9924,2.99
"white",5,9.6,7.5,0.9965,3.43
"white",5,9.6,7.5,0.9965,3.43
"white",5,9.5,17.75,0.9993,3.34
"white",6,10.7,5.7,0.9965,3.48
"white",8,12.4,3.2,0.9908,3.25
"white",6,11.1,4.3,0.992,3.09
"white",5,8.8,11,0.9978,2.99
"white",5,8.7,10.9,0.9978,3
"white",5,8.7,10.9,0.9978,3
"white",5,8.8,11,0.9978,2.99
"white",7,11.7,2.4,0.9912,3.21
"white",6,10.9,1.9,0.9928,3.23
"white",6,10.8,1.8,0.9928,3.23
"white",6,9.6,1.4,0.993,3.12
"white",5,9,16.8,0.9993,3.18
"white",5,9,8.9,0.9965,2.85
"white",6,10.4,6.6,0.9937,3.36
"white",5,11.4,1.1,0.9913,3.23
"white",5,9.3,1.4,0.9934,3.26
"white",8,11,13.3,0.9952,3.33
"white",4,9.1,10.4,0.9983,3.32
"white",6,9.4,6.2,0.9957,3.23
"white",6,9.4,6.2,0.9957,3.23
"white",6,10.5,1.2,0.9916,3.18
"white",5,8.8,18.05,0.9999,3.22
"white",5,8.8,18.05,0.9999,3.22
"white",6,10.7,4.8,0.9936,3.26
"white",5,9.5,12.6,0.9972,3.33
"white",6,10.9,4.5,0.9933,3.43
"white",6,25,4.5,0.9934,3.49
"white",7,10.8,4.7,0.9931,3.41
"white",5,9.2,11.9,0.9976,3.1
"white",5,10.3,5,0.9937,3.3
"white",5,10.3,5.8,0.9937,3.3
"white",7,11,1.2,0.991,3.34
"white",4,9,12.9,0.9979,3.25
"white",6,10.4,13.9,0.9971,3.36
"white",5,9.5,11.5,0.9969,3.31
"white",5,9.5,11.4,0.9968,3.31
"white",5,9,7.8,0.9961,3.24
"white",4,9.5,1.1,0.993,3.09
"white",6,9,12.2,0.9973,3.16
"white",5,10,5.9,0.9944,3.16
"white",7,9.1,14.4,0.9986,3.07
"white",7,9.1,14.4,0.9986,3.07
"white",7,9.1,14.4,0.9986,3.07
"white",7,9.1,14.4,0.9986,3.07
"white",6,9.5,12.3,0.9972,3.34
"white",7,11.4,2.5,0.9917,3.33
"white",6,12.2,5.3,0.992,3.11
"white",6,11.3,4.9,0.9932,3.04
"white",5,10.2,3.2,0.9936,3.25
"white",5,11.3,3.1,0.9915,3.24
"white",4,10,1.4,0.9922,3.15
"white",5,9.4,1.9,0.9934,3.15
"white",7,12.2,14,0.9952,3.37
"white",4,9.2,8.3,0.9972,3.4
"white",5,9.4,1.9,0.9934,3.15
"white",6,9.6,7.4,0.9958,3.35
"white",5,9.5,1.4,0.9944,3.28
"white",6,12.5,1.7,0.9908,3.35
"white",6,9.6,7.4,0.9958,3.35
"white",6,10,1.3,0.9925,3.35
"white",5,9.3,11.6,0.9966,3.18
"white",6,9.3,9.2,0.9972,3.14
"white",6,11.6,1.7,0.9912,3.29
"white",8,12.5,14.5,0.995,3.38
"white",6,10.6,2.1,0.9928,3.36
"white",5,9.4,10.7,0.9968,3.08
"white",6,9.1,6.9,0.9955,3.19
"white",6,9,12,0.9981,3.23
"white",7,11.8,4.75,0.991,3.42
"white",7,11.8,4.75,0.991,3.42
"white",7,11.8,4.75,0.991,3.42
"white",5,10,1.4,0.992,3.17
"white",5,9.7,1.3,0.9931,3.06
"white",6,9.5,11.3,0.997,3.24
"white",5,9.4,4.5,0.9948,3.12
"white",5,11.2,1.7,0.9923,3.03
"white",5,9,13.2,0.9976,3.25
"white",7,10.7,5.5,0.9938,3.3
"white",4,9,13,0.9984,3.08
"white",6,9.1,10.7,0.9972,3.14
"white",7,10.8,2,0.9922,3.26
"white",4,10.1,1.9,0.9935,3.31
"white",6,9.9,6.4,0.9944,3.17
"white",5,9.8,6.3,0.9942,3.17
"white",5,9.8,6.3,0.9944,3.17
"white",6,9.5,17.5,0.9997,3.16
"white",5,9.5,14.7,0.9977,3.23
"white",6,11.1,1,0.9912,3.23
"white",5,9.5,14.8,0.9982,3.06
"white",5,9.5,14.8,0.9982,3.06
"white",5,9.4,14.2,0.9983,3.06
"white",5,9.7,13.1,0.998,3.06
"white",7,13.9,2.4,0.9894,3.41
"white",4,10.1,1.2,0.9927,3.22
"white",6,10.5,1.1,0.9917,3.12
"white",6,12.6,3.6,0.9904,3.42
"white",5,10.9,6.1,0.993,2.89
"white",5,10,6.3,0.9941,3.15
"white",6,11.2,4.4,0.9943,3.13
"white",6,10,13.9,0.99855,3.11
"white",5,9.2,1,0.99345,3.14
"white",5,9.5,12.1,0.998,3.35
"white",6,12.3,1.6,0.9916,3.1
"white",6,12.3,1.6,0.9916,3.1
"white",5,10,7.5,0.99475,3.32
"white",6,10.8,2.7,0.99325,3.41
"white",7,10.5,1.7,0.9933,3.49
"white",6,9.2,9.2,0.9969,3.06
"white",5,9.1,18.75,1.0002,2.96
"white",7,10.5,1.7,0.9933,3.49
"white",7,10.2,1.8,0.9937,3.45
"white",5,8.9,9,0.99685,3.02
"white",5,10.4,1.5,0.99455,3.5
"white",6,11.7,1.6,0.9917,3.37
"white",8,25,1.3,0.99035,3.26
"white",7,10.9,1.8,0.9914,3.14
"white",5,10.2,1.2,0.99225,3.15
"white",7,11.7,2.8,0.99155,3.37
"white",5,9.4,8,0.9954,2.99
"white",5,10.5,5.3,0.99455,3.35
"white",5,9.4,0.8,0.9924,3.12
"white",6,10.4,13.8,0.99695,3.35
"white",6,9.5,10,0.99655,3.25
"white",7,11.1,6,0.9934,3.01
"white",6,9.1,14.4,0.998,3.02
"white",5,9.2,9.8,0.9971,3.28
"white",6,9.6,5.5,0.9948,3.14
"white",6,9.1,14.4,0.998,3.02
"white",5,9.2,9.8,0.9971,3.28
"white",7,10.8,3.8,0.99215,3.17
"white",6,9.6,5.5,0.9948,3.14
"white",3,12.6,4.6,0.9915,3.31
"white",6,11,1.5,0.99115,3.44
"white",6,10.2,2,0.9932,3.28
"white",5,9.4,12.5,0.9977,3.33
"white",5,10,7.5,0.99535,3.17
"white",6,12.2,2.1,0.99165,3.26
"white",6,10.5,8.5,0.9953,3.22
"white",6,11.5,7.6,0.9928,3.04
"white",6,9.8,8.1,0.9958,3.3
"white",6,11.4,7.35,0.9928,3.04
"white",6,11.5,7.6,0.9928,3.04
"white",6,10.2,10,0.9964,3.15
"white",6,9.4,14,0.9987,3.16
"white",6,10.5,8.5,0.9953,3.22
"white",5,9.1,2.2,0.9932,3.09
"white",7,12.2,1.8,0.9907,3.25
"white",5,9.5,11.1,0.99755,3.42
"white",6,9.3,15.2,0.99935,3.4
"white",7,9.8,1.2,0.9932,3.3
"white",7,9.8,1.2,0.9932,3.3
